Date,Open,High,Low,Close,Volume
01/27/2025,"124.80","128.40","116.70","118.42","818,830,938"
01/24/2025,"148.37","148.97","141.88","142.62","234,657,594"
01/23/2025,"145.05","147.23","143.72","147.22","155,915,500"
01/22/2025,"144.66","147.79","143.67","147.07","237,651,391"
01/21/2025,"139.16","141.83","137.09","140.83","197,748,984"
01/17/2025,"136.69","138.50","135.46","137.71","201,188,797"
01/16/2025,"138.64","138.75","133.49","133.57","209,235,594"
01/15/2025,"133.65","136.45","131.29","136.24","185,217,297"
01/14/2025,"136.05","136.38","130.05","131.76","195,590,500"
01/13/2025,"129.99","133.49","129.51","133.23","204,808,891"
01/10/2025,"137.45","139.92","134.22","135.91","207,602,500"
01/08/2025,"142.58","143.95","137.56","140.11","227,349,906"
01/07/2025,"153.03","153.13","140.01","140.14","351,782,219"
01/06/2025,"148.59","152.16","147.82","149.43","265,377,406"
01/03/2025,"140.01","144.90","139.73","144.47","229,322,500"
01/02/2025,"136.00","138.88","134.63","138.31","198,247,203"
12/31/2024,"138.03","138.07","133.83","134.29","155,659,203"
12/30/2024,"134.83","140.27","134.02","137.49","167,734,703"
12/27/2024,"138.55","139.02","134.71","137.01","170,582,594"
12/26/2024,"139.70","140.85","137.73","139.93","116,519,102"
12/24/2024,"140.00","141.90","138.65","140.22","105,157,000"
12/23/2024,"136.28","139.79","135.12","139.67","176,053,500"
12/20/2024,"129.81","135.28","128.22","134.70","306,528,594"
12/19/2024,"131.76","134.03","129.55","130.68","209,719,203"
12/18/2024,"133.86","136.70","128.28","128.91","277,444,500"
12/17/2024,"129.09","131.59","126.86","130.39","259,410,297"
12/16/2024,"134.18","134.40","130.42","132.00","237,951,109"
12/13/2024,"138.94","139.60","132.54","134.25","231,514,891"
12/12/2024,"137.08","138.44","135.80","137.34","159,211,391"
12/11/2024,"137.36","140.17","135.21","139.31","184,905,203"
12/10/2024,"139.01","141.82","133.79","135.07","210,020,891"
12/09/2024,"138.97","139.95","137.13","138.81","189,308,609"
12/06/2024,"144.60","145.70","141.31","142.44","188,505,594"
12/05/2024,"145.11","146.54","143.95","145.06","172,621,203"
12/04/2024,"142.00","145.79","140.29","145.14","231,224,297"
12/03/2024,"138.26","140.54","137.95","140.26","164,414,000"
12/02/2024,"138.83","140.45","137.83","138.63","171,682,797"
11/29/2024,"136.78","139.35","136.05","138.25","141,863,203"
11/27/2024,"135.01","137.22","131.80","135.34","226,370,891"
11/26/2024,"137.70","139.30","135.67","136.92","190,287,703"
11/25/2024,"141.99","142.05","135.82","136.02","344,941,875"
11/22/2024,"145.93","147.16","141.10","141.95","236,406,203"
11/21/2024,"149.35","152.89","140.70","146.67","400,946,594"
11/20/2024,"147.41","147.56","142.73","145.89","309,871,719"
11/19/2024,"141.32","147.13","140.99","147.01","227,834,891"
11/18/2024,"139.50","141.55","137.15","140.15","221,866,000"
11/15/2024,"144.87","145.24","140.08","141.98","250,132,891"
11/14/2024,"147.64","149.00","145.55","146.76","194,463,297"
11/13/2024,"149.07","149.33","145.90","146.27","191,903,297"
11/12/2024,"146.78","149.65","146.01","148.29","198,634,703"
11/11/2024,"148.68","148.85","143.57","145.26","182,325,594"
11/08/2024,"148.77","149.77","146.26","147.63","175,665,797"
11/07/2024,"146.39","148.93","146.17","148.88","207,323,297"
11/06/2024,"142.96","146.49","141.96","145.61","242,043,906"
11/05/2024,"137.45","140.37","137.33","139.91","160,537,406"
11/04/2024,"137.21","138.96","135.57","136.05","187,528,188"
11/01/2024,"134.70","137.31","134.57","135.40","207,127,812"
10/31/2024,"137.60","137.61","132.11","132.76","270,039,625"
10/30/2024,"139.54","140.33","136.81","139.34","179,418,094"
10/29/2024,"140.29","142.26","138.90","141.25","157,593,594"
10/28/2024,"143.00","143.14","140.05","140.52","173,586,703"
10/25/2024,"140.93","144.13","140.80","141.54","205,122,094"
10/24/2024,"140.82","141.35","138.46","140.41","172,354,891"
10/23/2024,"142.03","142.43","137.46","139.56","285,929,969"
10/22/2024,"142.91","144.42","141.78","143.59","226,311,594"
10/21/2024,"138.13","143.71","138.00","143.71","264,554,500"
